,id,length,cost/km (millions),cheap?,clength,ctunnel,anglo?,inflation index,real cost (2021 dollars)
232,7595.0,4.0,338.0,0.0,0.0,0.0,0.0,1.2630455352689747,1707.6375636836538
233,7600.0,3.6,187.77777777777777,0.0,0.0,0.0,0.0,1.0469802288156225,707.7586346793607
234,7601.0,0.8,87.75,0.0,0.0,0.0,0.0,1.66239263803681,116.69996319018406
235,7602.0,2.7,179.83333333333331,0.0,0.0,0.0,0.0,1.0,485.55
236,7603.0,35.0,316.81142857142856,0.0,0.0,0.0,0.0,1.059896658413421,11752.558107151377
237,7608.0,51.0,288.235294117647,0.0,0.0,0.0,0.0,1.144608340091917,16825.742599351175
238,7609.0,52.2,409.4061302681992,0.0,0.0,0.0,0.0,1.059896658413421,22651.05148695322
239,7610.0,23.5,213.61702127659575,1.0,23.5,21.5,0.0,1.472663043478261,7392.76847826087
240,7611.0,16.1,133.56521739130434,1.0,16.1,15.9,0.0,1.2426624353377114,2672.2213009502148
241,7616.0,21.7,101.76497695852534,1.0,21.7,21.7,0.0,1.2630455352689747,2789.1834555344763
242,7617.0,4.4,78.93181818181816,1.0,4.4,4.4,0.0,1.143251327963817,397.0511862018336
243,7618.0,19.7,101.10659898477158,1.0,19.7,19.7,0.0,1.143251327963817,2277.1279950383305
244,7619.0,13.6,227.875,1.0,13.6,13.6,0.0,1.2630455352689747,3914.304418352079
245,7624.0,63.0,47.38730158730158,1.0,63.0,0.0,0.0,1.143251327963817,3413.062514503179
246,7625.0,23.75,113.17894736842105,1.0,23.75,22.85,0.0,1.059896658413421,2849.002217815276
247,7626.0,11.6,103.44827586206897,1.0,11.6,3.4,0.0,1.66239263803681,1994.871165644172
248,7627.0,5.35,51.81308411214955,1.0,5.35,5.35,0.0,1.2426624353377114,344.4660270756136
249,7632.0,2.25,47.111111111111114,1.0,2.25,2.25,0.0,1.2046377017769263,127.69159638835418
250,7633.0,9.22,119.3058568329718,1.0,9.22,9.22,0.0,1.2426624353377114,1366.9286788714826
251,7634.0,39.0,22.884615384615383,1.0,39.0,6.25,0.0,1.3440972222222225,1199.6067708333335
253,7640.0,28.2,191.9227659574468,0.0,0.0,0.0,0.0,1.3874551971326166,7509.215541935484
257,7648.0,1.83,233.11475409836063,0.0,0.0,0.0,0.0,1.079101737506322,460.344801220197
258,7649.0,40.85,59.02545899632803,0.0,0.0,0.0,0.0,1.6264705882352943,3921.7296176470595
261,7656.0,16.1,122.19565217391303,0.0,0.0,0.0,0.0,1.7780183727034122,3497.984445538058
262,7657.0,16.3,277.6687116564417,0.0,0.0,0.0,0.0,1.7780183727034122,8047.3111548556435
263,7658.0,2.72,42.47080514705881,0.0,0.0,0.0,0.0,1.6264705882352943,187.89084197058824
264,7659.0,6.155,201.20050365556455,0.0,0.0,0.0,0.0,1.4344626786659609,1776.4229456167284
265,7664.0,30.8,112.82727272727273,0.0,0.0,0.0,0.0,1.2585519012740187,4373.568541079317
266,7665.0,8.53,87.92497069167645,0.0,0.0,0.0,0.0,1.2426624353377114,931.9968265032835
267,7666.0,24.975,134.05189189189187,0.0,0.0,0.0,0.0,1.66239263803681,5565.600782944785
268,7667.0,15.365,79.49886104783599,0.0,0.0,0.0,0.0,1.3440972222222225,1641.8147569444448
269,7672.0,22.032,201.24999999999997,0.0,0.0,0.0,0.0,1.3874551971326166,6151.8930967741935
270,7673.0,17.206,73.51017087062652,0.0,0.0,0.0,0.0,1.5300395256916999,1935.2184727272731
271,7674.0,19.628,135.79422253922968,0.0,0.0,0.0,0.0,1.1290087372451638,3009.224888982405
272,7675.0,34.388,181.0835175061068,0.0,0.0,0.0,0.0,1.3068746322500988,8138.0390224845905
273,7680.0,9.978,94.9188214070956,0.0,0.0,0.0,0.0,1.2426624353377114,1176.9255925083464
274,7681.0,14.44,117.05290858725762,0.0,0.0,0.0,0.0,1.2630455352689747,2134.8551377151725
275,7682.0,30.687,195.03372763711016,0.0,0.0,0.0,0.0,1.2585519012740187,7532.433129125002
276,7683.0,14.5,205.31172413793104,0.0,0.0,0.0,0.0,1.3068746322500988,3890.5919177011892
277,7688.0,5.372,156.36634400595682,0.0,0.0,0.0,0.0,1.2426624353377114,1043.8364456836775
278,7689.0,13.828,237.19655770899627,0.0,0.0,0.0,0.0,1.143251327963817,3749.8117661602337
